#	duration	interval	peak freq start	peak freq end	peak freq max
133	0.0578	3.0336	58100	62500	61000
134	0.0112	3.3704	58100	61500	61000
135	0.0117	0.3215	58500	61000	60000
136	0.0348	2.7028	59000	61500	62500
137	0.0532	1.6660	58100	65900	62000
138	0.0204	2.1130	59000	58500	59500
139	0.0194	0.9338	53200	59000	59500
140	0.0286	0.4551	58500	64400	63900
141	0.0174	0.4439	57100	60500	58100
142	0.0158	0.5611	56600	58100	59000
143	0.0240	0.7997	58100	70300	72700
144	0.0890	0.6696	72700	57100	70300
145	0.0384	1.0649	71700	64400	61500
146	0.0194	0.9487	59500	62900	62900
147	0.0051	0.5606	60000	61000	60000
148	0.0256	1.0557	60500	64400	62900
149	0.0122	0.6118	58100	59000	59000
150	0.0184	0.5632	56600	56100	57600
151	0.0128	0.5847	74700	61000	61000
152	0.0235	0.1966	56600	58500	58100
153	0.0102	0.6855	62000	70800	78100
154	0.0332	1.0542	57100	71700	62500
155	0.0138	0.2247	60500	62900	61500
156	0.0194	0.3041	59000	64400	64400
157	0.0302	1.5795	57600	60500	60500
158	0.0296	0.2283	59000	80000	65400
159	0.0286	0.1218	58500	59500	60000
160	0.0220	0.4321	60000	65400	63400
161	0.0250	0.6251	57600	75100	77600
162	0.0122	0.3297	50200	51700	52700
163	0.0368	0.8642	47800	49300	51200
164	0.0076	0.2442	56600	56600	56600
165	0.0199	0.1182	50700	53700	52200
166	0.0102	0.1244	48300	49800	48800
167	0.0189	0.6773	59000	58100	59500
168	0.0235	1.6655	57600	59500	60500
169	0.0276	0.6420	64400	63900	63900
170	0.0128	1.9650	58500	59000	58500
171	0.0317	1.1878	57600	55600	58500
172	0.0168	1.0798	61000	65900	63400
173	0.0138	1.6317	58500	60500	60000
174	0.0128	0.7372	56600	57600	57100
175	0.0056	0.5519	57600	57600	58100
176	0.0261	1.4330	59000	61500	61000
177	0.0235	0.7910	58500	59000	60500
178	0.0153	1.0188	59000	58500	60000
179	0.0189	4.6305	57600	79100	59500
180	0.0189	0.1346	61500	64900	64400
181	0.0092	0.1198	58100	59000	59000
182	0.0552	0.7229	60500	61000	61500
183	0.0291	0.2467	66800	50700	66400
184	0.0163	5.4149	57100	68300	73700
185	0.0112	0.4776	58100	60500	61000
186	0.0076	2.2133	61500	61500	62000
187	0.0081	0.5672	58100	58100	58100
188	0.0117	0.3788	54100	55600	55100
189	0.0384	0.5309	54600	71700	70300
190	0.0174	0.5309	70800	75600	71200
191	0.0128	1.2236	59000	61000	61500
192	0.0163	0.3891	59500	59000	61000
193	0.0220	0.4403	58500	60000	59000
194	0.0199	0.3886	58100	62000	62000
195	0.0117	0.3430	57600	61500	61000
196	0.0302	0.1192	58500	62900	62000
197	0.0179	0.3860	58500	65900	60500
198	0.0174	0.3645	58500	60000	59000
199	0.0138	4.0207	57600	60500	60500
200	0.0102	0.3732	58100	58500	58500
201	0.0302	0.6149	58500	63400	63900
202	0.0291	0.6517	59000	79500	60000
203	0.0281	1.1509	59000	77600	63900
204	0.0081	0.2452	59500	60000	59500
205	0.0102	2.3500	60500	62900	63400
206	0.0051	0.6917	62900	63400	64400
207	0.0220	0.5217	58500	60000	60500
208	0.0204	0.2329	57600	57600	59000
209	0.0235	0.3153	59000	64400	62000
210	0.0112	1.0357	59500	60500	61000
211	0.0081	0.5662	60000	61500	62000
212	0.0168	1.1264	57100	59000	59000
213	0.0056	0.3153	55100	55600	55600
214	0.0087	0.4346	60000	61000	60500
215	0.0107	0.4602	60000	62500	62500
216	0.0051	0.9221	61000	62000	61000
217	0.0204	1.6312	58500	62000	62000
218	0.0276	0.1448	57100	71200	60000
219	0.0168	0.9748	60000	62500	62000
220	0.0051	0.5135	75600	72700	76600
221	0.0348	0.4439	53700	70800	69800
222	0.0168	0.2452	53700	54600	55600
223	0.0957	0.8545	74700	62500	74200
224	0.0076	0.9794	54100	55600	54600
225	0.0179	2.7422	64400	65400	65900
226	0.0245	0.2954	65400	65900	66400
227	0.0133	0.2411	62500	62000	62900
228	0.0220	0.5529	58500	61000	60500
229	0.0102	0.1280	38000	58500	38000
230	0.0250	0.3758	58100	62500	63900
231	0.0281	0.3486	58100	66800	74700
232	0.0225	1.6081	59500	74700	80000
233	0.0302	0.4910	58500	59500	60500
234	0.0332	0.2391	55600	64400	64900
235	0.0209	0.5509	59000	62000	62500
236	0.0317	0.4618	61000	63900	65400
237	0.0122	5.0391	59000	62000	59000
238	0.0081	0.0435	63900	63900	63900
239	0.0286	1.2738	59000	69800	66400
240	0.0501	0.7659	60000	66400	65900
241	0.0184	0.7541	58100	56600	58100
242	0.0194	1.1356	59000	79500	62500
243	0.0194	2.8149	58100	59500	58500
244	0.0153	1.0475	61000	62000	62900
245	0.0168	3.0197	58100	62000	61500
246	0.0081	7.1746	62500	67300	63900
247	0.0240	2.0075	60000	62000	61500
248	0.0112	1.7085	59500	60500	60500
249	0.0128	4.8629	60000	62000	59500
250	0.0235	0.8872	58100	57600	59000
251	0.0896	0.4526	72200	67800	75100
252	0.0071	1.8467	52200	54600	52200
253	0.0071	0.1536	52700	54100	53200
254	0.0266	0.5841	55600	59500	55600
255	0.0189	1.3245	55100	59000	58100
256	0.0394	1.0562	58100	62500	62000
257	0.0087	0.6481	54600	56600	54600
258	0.0343	0.3466	60500	63900	63900
259	0.0240	1.7121	72200	61500	72700
260	0.0056	0.6016	56100	59500	56100
